"dep_id","metal_band","dep_id_short","lon","lat","datetime_UTC","datetime_release_UTC","deployment_dur_min","mass_gain","rate_mass","dep_lon","dep_lat","distNest","X_UTM","Y_UTM"
"5AC_99699560_20230801",99699560,"ID32_D01",-75.97883,73.03316,"2023-08-01 21:39:59","2023-08-01 10:02:00",929,-45,-0.0484391819160387,-76.0948,72.9425,10.8026653603598,663375.586093535,8111031.2248465
"5AC_99699580_20230729",99699580,"ID37_D02",-75.2456,73.07657,"2023-07-30 09:52:02","2023-07-30 00:37:00",1456,-19,-0.0130494505494505,-76.0948,72.9425,31.4886633983174,686705.687362658,8117999.97176711
"5AC_99699656_20230725",99699656,"ID40_D03",-73.44464,73.50368,"2023-07-26 14:43:01","2023-07-25 23:10:00",1526,-24,-0.0157273918741809,-76.0948,72.9425,105.911534094154,738882.007480386,8171795.48726228
"AA10_99699516_20230729",99699516,"ID09_D05",-75.55524,73.19213,"2023-07-30 10:01:03","2023-07-30 00:52:00",854,0,0,-76.0948,72.9425,32.9218985121225,675513.600903151,8129902.8553169
"AA11_99699688_20230729",99699688,"ID51_D07",-75.30984,72.77423,"2023-07-30 08:47:03","2023-07-30 00:44:00",744,-18,-0.0241935483870968,-76.0948,72.9425,31.9359400692809,687826.386678058,8084211.76329607
"AA12_130600375_20230806",130600375,"ID54_D08",-74.61424,72.99735,"2023-08-06 18:10:01","2023-08-06 09:58:00",1407,18,0.0127931769722814,-76.0948,72.9425,48.8033678357897,708064.647136092,8111285.52101451
"AA12_99699687_20230729",99699687,"ID50_D11",-76.04981,72.97003,"2023-07-30 04:59:01","2023-07-30 00:23:00",773,-44,-0.0569210866752911,-76.0948,72.9425,3.40660883231434,661652.397008988,8103818.38518567
"AA20_99699536_20220725",99699536,"ID20_D15",-74.98981,73.50997,"2022-07-26 11:12:00","2022-07-25 23:45:00",964,-7,-0.00726141078838174,-76.0948,72.9425,72.6496251381314,690127.14857167,8166941.82389997
"AA3_99699510_20220725",99699510,"ID05_D19",-76.02388,73.2081,"2022-07-26 10:01:04","2022-07-25 23:21:00",1191,-15,-0.0125944584382872,-76.0948,72.9425,29.7274915891214,660291.986491703,8130362.93895462
"AA3_99699654_20230725",99699654,"ID39_D22",-74.47435,73.07651,"2023-07-26 05:21:02","2023-07-25 22:36:00",1006,5,0.00497017892644135,-76.0948,72.9425,54.9475644801975,711645.453544976,8120559.97757745
"AA32_99699546_20220729",99699546,"ID23_D24",-75.73306,73.05714,"2022-07-30 09:15:01","2022-07-29 22:03:00",945,9,0.00952380952380952,-76.0948,72.9425,17.4098944658586,671118.957091928,8114383.8689158
"AA36_99699507_20220725",99699507,"ID03_D29",-75.66976,73.46903,"2022-07-26 12:49:01","2022-07-25 21:46:00",1122,-11,-0.00980392156862745,-76.0948,72.9425,60.3350821162238,669080.070059273,8160348.67304898
"AA4_99698880_20230725",99698880,"ID02_D32",-75.78462,73.22907,"2023-07-26 10:13:01","2023-07-25 22:46:00",914,4,0.00437636761487965,-76.0948,72.9425,33.528280100876,667778.007975457,8133350.65326305
