"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","converg.mess","AICc_baseline","AICc_new","deltaAICc"
1,0.5,0.533016590484785,0.0359188003980414,0.46261703533674,0.603416145632829,TRUE,0,37877.3732281271,37879.2626303206,1.88940219349024
2,0.5,0.47022568701754,0.0319437448011992,0.407617097675851,0.532834276359229,TRUE,0,37994.9394929584,37996.0745447573,1.13505179899221
3,0.5,0.47717192936393,0.0270353022920417,0.424183710560375,0.530160148167485,TRUE,0,37907.4890563967,37908.7341455569,1.24508916020568
4,0.5,0.500306899291328,0.0261233551523802,0.449106064037314,0.551507734545342,TRUE,0,37842.1940925296,37844.1388563693,1.94476383973233
5,0.5,0.516503603331737,0.0298300884990404,0.458037704217976,0.574969502445499,TRUE,0,37829.4444938077,37831.3823408896,1.93784708194289
6,0.5,0.494715921837934,0.0299445349048818,0.436025711890563,0.553406131785305,TRUE,0,37928.1040218324,37929.9305143872,1.8264925548865
7,0.5,0.451206822151585,0.0314384640324259,0.389588564918772,0.512825079384397,TRUE,0,38007.1074438947,38008.610346301,1.50290240621689
8,0.5,0.458442243470449,0.0272086036750878,0.405114360197653,0.511770126743245,TRUE,0,37915.3614600804,37916.2208664637,0.859406383315218
9,0.5,0.440029230254208,0.0312093071870614,0.37886011218512,0.501198348323295,TRUE,0,38018.2786222729,38019.4355411366,1.15691886365676
10,0.5,0.48925238104042,0.0298245152977353,0.430797405200495,0.547707356880345,TRUE,0,37942.0124459489,37944.0002339934,1.9877880444983
11,0.5,0.458030963110545,0.0310067362486804,0.397258876784999,0.518803049436091,TRUE,0,37996.1003425988,37998.0560509025,1.95570830372162
12,0.5,0.511073418465452,0.0279507979951543,0.456290861055795,0.565855975875109,TRUE,0,37889.5951047487,37891.2316696774,1.6365649287618
13,0.5,0.509609305506148,0.0289346777381049,0.452898379235189,0.566320231777106,TRUE,0,37894.7215166375,37895.8340659385,1.11254930102587
