"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","deltaAICc"
1,15,10,5,1,0.5,1,0.182310853624955,0.143011915576411,-0.0979873502648938,0.462609057514804,NA,0.527693378996522,0.0343383881149814,0.460391375004001,0.594995382989044,NA,1.03261614093663,0.041704265445133,0.950877282662466,1.11435499921078,NA,0,0,37650.7914558166,37545.8902477322,"0.5 1","-1: 15, 0: 10, +1: 5",104.901208084426
2,15,10,5,2,0.5,1,0.0914640881785589,0.132056836119022,-0.167362554527033,0.350290730884151,NA,0.408553902003946,0.0308891630649432,0.348012254884072,0.469095549123819,NA,0.947137428791001,0.037591589492916,0.873459267263271,1.02081559031873,NA,0,0,37640.6070963233,37545.2022971022,"0.5 1","-1: 15, 0: 10, +1: 5",95.4047992210835
3,15,10,5,3,0.5,1,0.144197773505324,0.144254187674556,-0.138535238955888,0.426930785966536,NA,0.489273820736371,0.0371341451066532,0.416492233730647,0.562055407742096,NA,1.02140079883632,0.0467203668199954,0.929830562524627,1.11297103514801,NA,0,0,37525.4754456571,37440.900743593,"0.5 1","-1: 15, 0: 10, +1: 5",84.5747020640847
4,15,10,5,4,0.5,1,0.133568708548663,0.137390534628608,-0.135711791140111,0.402849208237438,NA,0.461511460817103,0.0379854150161421,0.387061415447657,0.535961506186548,NA,0.978577445123701,0.0466192458881293,0.88720540219655,1.06994948805085,NA,0,0,37700.3863404417,37618.6010765164,"0.5 1","-1: 15, 0: 10, +1: 5",81.7852639252524
5,15,10,5,5,0.5,1,0.154534782242858,0.131063338650016,-0.10234464120475,0.411414205690466,NA,0.465223023883738,0.0349485315217188,0.396725160788606,0.53372088697887,NA,0.936371894845969,0.0429129109242528,0.852264134962658,1.02047965472928,NA,0,0,37804.3452186908,37718.6465069078,"0.5 1","-1: 15, 0: 10, +1: 5",85.6987117829995
6,15,10,5,6,0.5,1,0.115252802766112,0.128807883882237,-0.137206010567891,0.367711616100114,NA,0.426356272208366,0.0347081612217158,0.358329526244193,0.494383018172538,NA,0.933672580261947,0.0418365336705539,0.851674481029664,1.01567067949423,NA,0,0,37798.4738299811,37699.672074676,"0.5 1","-1: 15, 0: 10, +1: 5",98.8017553050449
7,15,10,5,7,0.5,1,0.216908423017966,0.152753579967804,-0.0824830922284896,0.516299938264422,NA,0.583062290434759,0.0390132086012763,0.506597806654909,0.659526774214608,NA,1.09527332785965,0.0479276198103472,1.00133691916664,1.18920973655266,NA,0,0,37523.9399520384,37437.5937735739,"0.5 1","-1: 15, 0: 10, +1: 5",86.3461784645115
8,15,10,5,8,0.5,1,0.166953108730897,0.139702863044048,-0.106859471372569,0.440765688834363,NA,0.501189129901869,0.0403732992859487,0.422058917364353,0.580319342439385,NA,0.999806241310676,0.0486295673167154,0.904494040786148,1.0951184418352,NA,0,0,37677.7113441055,37594.1749306996,"0.5 1","-1: 15, 0: 10, +1: 5",83.5364134059419
9,15,10,5,9,0.5,1,0.170851630785715,0.137362185540536,-0.0983733057114441,0.440076567282874,NA,0.498962369830838,0.0311402614342178,0.437928578950609,0.559996160711066,NA,0.986994397884337,0.0364430258238911,0.915567379781848,1.05842141598683,NA,0,0,37585.8436791015,37487.0445423916,"0.5 1","-1: 15, 0: 10, +1: 5",98.7991367098875
10,15,10,5,10,0.5,1,0.162525369548012,0.140611332862385,-0.113067778680436,0.43811851777646,NA,0.502550108278787,0.0283699216979933,0.446946083506499,0.558154133051075,NA,1.01422245481286,0.0347934991137782,0.946028449653729,1.08241645997199,NA,0,0,37113.2498897333,37011.8360092383,"0.5 1","-1: 15, 0: 10, +1: 5",101.413880495056
11,15,10,5,11,0.5,1,0.153610353462527,0.142277286635092,-0.125248004160335,0.432468711085389,NA,0.492437566382624,0.0348454114116657,0.424141814989278,0.560733317775969,NA,1.01280503040608,0.0433540145664397,0.927832723270629,1.09777733754152,NA,0,0,37707.228659124,37619.4712251953,"0.5 1","-1: 15, 0: 10, +1: 5",87.7574339286875
12,15,10,5,12,0.5,1,0.209512616445247,0.139221255177225,-0.0633560295845742,0.482381262475069,NA,0.543363406910614,0.0307247583639574,0.483143987083562,0.603582826737666,NA,1.00064696987813,0.038260816394786,0.925657147725253,1.07563679203101,NA,0,0,37491.0625880555,37395.240910923,"0.5 1","-1: 15, 0: 10, +1: 5",95.8216771325606
13,15,10,5,13,0.5,1,0.119024088828192,0.137316215117033,-0.150110747294548,0.388158924950932,NA,0.451162771634209,0.0342010681635925,0.384129909800768,0.51819563346765,NA,0.992940782775489,0.0417790929325885,0.911055265320864,1.07482630023011,NA,0,0,37713.1598286332,37610.9729877904,"0.5 1","-1: 15, 0: 10, +1: 5",102.186840842754
14,15,10,5,14,0.5,1,0.175954549243202,0.140622740125654,-0.0996609568104142,0.451570055296819,NA,0.515740200914022,0.0366114634181087,0.443983051193223,0.58749735063482,NA,1.01468801941908,0.0446781943218939,0.927120367653881,1.10225567118427,NA,0,0,37745.0179523566,37648.7363893552,"0.5 1","-1: 15, 0: 10, +1: 5",96.2815630013574
15,15,10,5,15,0.5,1,0.14998824589138,0.131858056514104,-0.108448795947711,0.40842528773047,NA,0.468037600805077,0.0311482561796947,0.406988140511648,0.529087061098506,NA,0.955040651488598,0.0386348422552415,0.879317752119938,1.03076355085726,NA,0,0,37672.3820242873,37570.8757432885,"0.5 1","-1: 15, 0: 10, +1: 5",101.506280998809
16,15,10,5,16,0.5,1,0.146973971970157,0.136732764449726,-0.121017321857904,0.414965265798218,NA,0.472853075668177,0.029623119178381,0.414792828968812,0.530913322367541,NA,0.987076559994766,0.0381151319692113,0.912372274069121,1.06178084592041,NA,0,0,37527.6308746674,37423.9353026111,"0.5 1","-1: 15, 0: 10, +1: 5",103.695572056349
17,15,10,5,17,0.5,1,0.135612373831207,0.133858827214469,-0.126746106521923,0.397970854184337,NA,0.45009954950317,0.030413180274396,0.39049081151003,0.50970828749631,NA,0.945227553813685,0.0394250884812789,0.867955800303073,1.0224993073243,NA,0,0,37615.3864980648,37527.6107570023,"0.5 1","-1: 15, 0: 10, +1: 5",87.7757410625636
18,15,10,5,18,0.5,1,0.180685512186854,0.139470634891999,-0.0926719091023993,0.454042933476108,NA,0.52343341330154,0.0367095742435816,0.451483969896321,0.595382856706759,NA,1.01491926795454,0.04555118523051,0.925640585449624,1.10419795045945,NA,0,0,37746.8560860392,37646.51432048,"0.5 1","-1: 15, 0: 10, +1: 5",100.34176555914
19,15,10,5,19,0.5,1,0.119831974150121,0.136848971698113,-0.148387081699522,0.388051029999764,NA,0.452455281632344,0.0323276749559473,0.389094203014769,0.515816360249918,NA,0.987488005670353,0.0398943943818634,0.909296429496864,1.06567958184384,NA,0,0,37613.5234119687,37519.6655841528,"0.5 1","-1: 15, 0: 10, +1: 5",93.8578278158602
20,15,10,5,20,0.5,1,0.123365823414354,0.13373898772331,-0.138757775852179,0.385489422680887,NA,0.448584734027646,0.0307230727657462,0.38836861791238,0.508800850142911,NA,0.967486610586149,0.0387357807485667,0.891565875405919,1.04340734576638,NA,0,0,37609.2888648701,37505.7122691266,"0.5 1","-1: 15, 0: 10, +1: 5",103.576595743492
21,15,10,5,21,0.5,1,0.116654718929058,0.144976597189496,-0.167494190163526,0.400803628021641,NA,0.464297417263021,0.0403556067425255,0.385201881473409,0.543392953052632,NA,1.03668547408994,0.0494535621780929,0.939758273313667,1.13361267486622,NA,0,0,37575.8991354144,37493.5891374639,"0.5 1","-1: 15, 0: 10, +1: 5",82.3099979505059
