"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_est_re","beta_cov_SE_re","beta_cov_95LCI_re","beta_cov_95UCI_re","beta_cov_in_95CI_re","beta_cov_proxy_est_re","beta_cov_proxy_SE_re","beta_cov_proxy_95LCI_re","beta_cov_proxy_95UCI_re","beta_cov_proxy_in_95CI_re","beta_cov_est_no_re","beta_cov_SE_no_re","beta_cov_95LCI_no_re","beta_cov_95UCI_no_re","beta_cov_in_95CI_no_re","beta_cov_proxy_est_no_re","beta_cov_proxy_SE_no_re","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_re","converg_mess_no_re","beta_cov_sim","beta_cov_proxy_sim","beta_sim_factor","proxy_factor","beta_cov_proxy_95LCI_no_re","beta_cov_proxy_95UCI_no_re"
1,10,15,25,1,0.340802031704826,0.182686365986976,-0.0172566660961503,0.698860729505803,NA,1.35196969012529,0.232987415588431,0.895322746720898,1.80861663352968,NA,0.1403177611261,0.164786381713293,-0.182657612174624,0.463293134426825,NA,1.05015382065553,0.201503682628915,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.655213859950666,1.44509378136039
2,10,15,25,2,1.12726554170432,0.175018884838526,0.784234830806447,1.4702962526022,NA,0.858849121309599,0.216441987738909,0.434630620599077,1.28306762202012,NA,1.05408198415488,0.188607767684813,0.68441755228815,1.42374641602161,NA,0.473080488666842,0.176387084512355,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.127368155684604,0.81879282164908
3,10,15,25,3,0.272622850219318,0.171001378208512,-0.0625336923760785,0.607779392814715,NA,0.944334437626187,0.213830910727458,0.525233553818969,1.3634353214334,NA,0.176503172475386,0.176675703522898,-0.16977484337277,0.522781188323542,NA,0.754504791350943,0.200682743798123,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.361173841187943,1.14783574151394
4,10,15,25,4,0.730472357023199,0.180877660521568,0.375958656793062,1.08498605725333,NA,0.942629661780865,0.219359332611521,0.512693270189541,1.37256605337219,NA,0.775868267249653,0.192022981741382,0.399510138832552,1.15222639566675,NA,0.369925028201203,0.152164074479972,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.0716889224795872,0.668161133922818
5,10,15,25,5,0.697852656198247,0.190148866729595,0.325167725707134,1.07053758668936,NA,0.867034668707544,0.224388732280786,0.427240834900602,1.30682850251449,NA,0.674914526388437,0.213745922581005,0.255980216287382,1.09384883648949,NA,0.528528309799196,0.205597755045205,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.125564114608307,0.931492504990086
6,10,15,25,6,0.813183107734771,0.188320218028097,0.444082262838971,1.18228395263057,NA,1.06713710514451,0.233728979495371,0.609036723190278,1.52523748709873,NA,0.710088427347843,0.160111338179041,0.39627597100041,1.02390088369528,NA,0.914111036489123,0.201959395257427,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.518277895445077,1.30994417753317
7,10,15,25,7,0.508552197273923,0.176246683429849,0.163115045356786,0.85398934919106,NA,0.976244155640007,0.214485125983676,0.555861033492466,1.39662727778755,NA,0.410803860962441,0.171164318873855,0.0753279605313555,0.746279761393527,NA,0.839417823722353,0.200453376886341,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.446536424445691,1.23229922299901
8,10,15,25,8,0.430932147180639,0.169424137823201,0.0988669389354142,0.762997355425863,NA,0.942067792545002,0.207610181948752,0.53515931310164,1.34897627198836,NA,0.341160671694192,0.153051985807296,0.0411842917495561,0.641137051638828,NA,0.819854794342385,0.187480360593461,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.452400039770618,1.18730954891415
9,10,15,25,9,0.791213491468938,0.164929289305049,0.467958024435255,1.11446895850262,NA,0.882861150562515,0.196191024075119,0.498333809285251,1.26738849183978,NA,0.768410755653547,0.186066290322127,0.403727527885205,1.13309398342189,NA,0.433814918688212,0.160258161197168,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.119714694513148,0.747915142863276
10,10,15,25,10,0.394443988452386,0.131528702710023,0.136652468207465,0.652235508697306,NA,0.897195016732451,0.16176711329832,0.580137300784733,1.21425273268017,NA,0.371742828291751,0.101729120516929,0.172357415899635,0.571128240683867,NA,0.7718255064878,0.132385460641596,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.512354771553527,1.03129624142207
11,10,15,25,11,0.19107341494856,0.197938118536998,-0.196878168551577,0.579024998448697,NA,0.985356784767884,0.238121564172775,0.518647095046901,1.45206647448887,NA,0.199472414512169,0.16434625848084,-0.122640333104187,0.521585162128526,NA,0.890997407452917,0.208060150374424,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.483207006101058,1.29878780880478
