"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg.mess","AICc_baseline","AICc_new","deltaAICc"
1,0.5,0.705987530123077,0.104528139215998,0.501116141888731,0.910858918357422,FALSE,1,1,1,1.00091349266712,0.974199989884239,0.98450022521088,0,67333.9034863503,67335.6928081558,1.78932180556876
2,0.5,0.442452951952693,0.103745589625598,0.239115332731648,0.645790571173738,TRUE,1,1,1,0.980587351415291,1.03809221780507,0.997575763539428,0,67361.5351919003,67363.1080955472,1.57290364685468
3,0.5,0.429487738575229,0.103474911920206,0.22668063790817,0.632294839242288,TRUE,1,1,1,1.01809141396744,0.984763943641982,1.00716000703122,0,67361.7700446725,67362.739336777,0.969292104462511
4,0.5,0.547861184462887,0.104915115665487,0.342231336324678,0.753491032601096,TRUE,1,1,1,0.977211510572662,1.00143637915081,0.996700824262947,0,67352.3607536133,67354.0058636974,1.64511008407862
5,0.5,0.634589295772886,0.103852026983904,0.431043063162952,0.83813552838282,TRUE,1,1,1,0.970945157607195,1.02737020268202,0.980052865663839,0,67340.6684610305,67341.6268169062,0.958355875685811
6,0.5,0.455642159367453,0.103772686958053,0.25225143035072,0.659032888384187,TRUE,1,1,1,1.02558732120947,0.972416962424637,0.992990379573016,0,67358.8554227311,67359.628295545,0.772872813948197
7,0.5,0.469545156460006,0.102690455751226,0.2682755616316,0.670814751288413,TRUE,1,1,1,1.00201548125171,1.00324660419243,1.0279290955435,0,67359.0487726553,67360.5703921606,1.52161950530717
8,0.5,0.401404437150752,0.10836487489032,0.189013185176536,0.613795689124968,TRUE,1,1,1,1.01830788022528,0.944393552619898,1.00926850348947,0,67365.8389660367,67367.6308442788,1.7918782420893
9,0.5,0.483067827425159,0.100245921463321,0.286589431760019,0.679546223090299,TRUE,1,1,1,0.994957832959502,1.05097370615047,0.942770233333996,0,67356.4520720254,67358.4384278241,1.98635579874099
10,0.5,0.573790890030644,0.105702042074606,0.366618694472079,0.780963085589209,TRUE,1,1,1,0.969489127760369,1.03646621350478,1.00730668254543,0,67348.9738028388,67349.0740631944,0.100260355626233
11,0.5,0.546391998931684,0.102177951556752,0.346126893866372,0.746657103996996,TRUE,1,1,1,1.00756087401876,1.00154016177526,1.00480999308886,0,67350.2336828595,67350.7848717563,0.551188896875829
12,0.5,0.552062174134226,0.108527574070402,0.339352037626734,0.764772310641717,TRUE,1,1,1,1.01119934108369,1.02189903112144,0.990210112704429,0,67349.8514691536,67351.0838351443,1.23236599069787
13,0.5,0.58165270015292,0.098724790422549,0.388155666543459,0.775149733762381,TRUE,1,1,1,0.996014354037372,1.04483900120305,0.987009312540595,0,67344.9532556452,67346.9500843394,1.99682869418757
14,0.5,0.571577445401844,0.0994700543364724,0.376619721362116,0.766535169441572,TRUE,1,1,1,0.998931787842124,0.998417561407216,1.00535580592093,0,67346.755875693,67348.7555834555,1.9997077624721
15,0.5,0.449514258407078,0.113466676150759,0.22712365970612,0.671904857108036,TRUE,1,1,1,1.00646008456138,0.993801069985259,1.04963862820192,0,67360.6788103247,67362.1084120004,1.42960167569981
16,0.5,0.455271184750256,0.100431082384835,0.258429880347606,0.652112489152907,TRUE,1,1,1,0.985509696319096,1.01207128295385,1.01602331193026,0,67359.0197694266,67360.9555395527,1.93577012611786
17,0.5,0.577995075912816,0.104136151111549,0.373891970245558,0.782098181580073,TRUE,1,1,1,0.995744978184574,0.994213395030173,1.01796099288431,0,67349.0549203475,67350.8064964821,1.75157613462943
18,0.5,0.465752721413936,0.113934230465488,0.242445733095294,0.689059709732579,TRUE,1,1,1,0.987244539696932,0.997786066743816,0.998640518040906,0,67358.6433893364,67358.6431086023,-0.0002807340642903
19,0.5,0.645154345403647,0.101646942092123,0.445929999764458,0.844378691042837,TRUE,1,1,1,0.996918076001659,1.0152021457244,0.969835516099118,0,67339.5452833132,67340.8225613758,1.27727806259645
20,0.5,0.576267316416491,0.102164421037561,0.376028730681487,0.776505902151496,TRUE,1,1,1,0.973364428936417,1.03470987202267,0.98665209902002,0,67347.9766548595,67349.9426730366,1.96601817714691
21,0.5,0.510518685038265,0.108761372889328,0.29735031126605,0.72368705881048,TRUE,1,1,1,1.00327098681928,1.03902585113798,1.0126487419103,0,67353.4086532108,67354.7070272633,1.29837405247963
22,0.5,0.433805213844271,0.104124432749658,0.229725075744278,0.637885351944264,TRUE,1,1,1,0.971413658927081,1.01836337322521,1.04860225249179,0,67362.4584224594,67364.2803319975,1.8219095380482
23,0.5,0.595780918958678,0.101749063457324,0.396356419121642,0.795205418795714,TRUE,1,1,1,1.03075749632261,0.970916580415016,1.01374499223095,0,67345.5414367827,67346.0080635009,0.466626718261978
24,0.5,0.471399323171908,0.104450256682424,0.266680581898394,0.676118064445423,TRUE,1,1,1,1.01528106575742,0.974479947699071,0.977974159037104,0,67359.5065170757,67361.4458884522,1.93937137650209
25,0.5,0.546074512317095,0.101040291268811,0.348039180442789,0.744109844191401,TRUE,1,1,1,0.989917231878111,1.01541152694143,0.950626310421959,0,67350.5539576814,67346.7623531997,-3.791604481783
26,0.5,0.488258524594686,0.104134961023806,0.284157751456544,0.692359297732829,TRUE,1,1,1,1.00036712807489,0.990778883224507,0.999639435728129,0,67357.9087413221,67359.594076006,1.68533468389069
