"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","gamma_shape_est_new","gamma_scale_est_new","vonMises_kappa_est_new","deltaAICc"
1,15,10,5,1,0.5,1,1,1,1,0.106481644165514,0.194311961198392,-0.274362801548679,0.487326089879706,FALSE,0.510541509377853,0.114811092160893,0.285515903716794,0.735567115038912,TRUE,1.20084418028968,0.139762699725068,0.926914322446461,1.4747740381329,TRUE,1.01056965167545,0.965578171275839,0.979647079819891,0,0,67342.3772907614,67305.7186748189,"0.5 1","-1: 15, 0: 10, +1: 5",1.01056207486311,0.966537955366338,0.980718848240389,36.6586159425206
2,15,10,5,2,0.5,1,1,1,1,0.172469340736611,0.17872344404759,-0.177822172789625,0.522760854262846,TRUE,0.544107925337381,0.113147036212989,0.322343809402474,0.765872041272288,TRUE,1.11516391762008,0.139366718362878,0.842010168985301,1.38831766625486,TRUE,0.975332779551107,0.984731804030824,0.999959252369764,0,0,67349.4240331913,67313.8701002641,"0.5 1","-1: 15, 0: 10, +1: 5",0.975994283501702,0.984474709820629,0.999223637782478,35.553932927156
3,15,10,5,3,0.5,1,1,1,1,0.212973042947854,0.137007185513195,-0.055556106281206,0.481502192176914,FALSE,0.467929933137075,0.114814960976087,0.242896744737573,0.692963121536577,TRUE,0.767161539038155,0.141531418429443,0.489765056235578,1.04455802184073,TRUE,1.02338569600675,0.980086020571698,1.0659364425437,0,0,67370.529419116,67348.2622641702,"0.5 1","-1: 15, 0: 10, +1: 5",1.02436767784203,0.980453020822977,1.06645479284097,22.2671549457882
4,15,10,5,4,0.5,1,1,1,1,0.223724041496564,0.155861720286251,-0.0817593168329442,0.529207399826073,TRUE,0.528819952941028,0.111744336362024,0.309805078195131,0.747834827686924,TRUE,0.919234812575457,0.139104496287724,0.646595009763934,1.19187461538698,TRUE,0.964407415620331,1.03227218310003,0.96199810556723,0,0,67361.4381026983,67332.4655715999,"0.5 1","-1: 15, 0: 10, +1: 5",0.964784173500987,1.03323500370835,0.962868286415189,28.9725310983777
5,15,10,5,5,0.5,1,1,1,1,0.11652433031068,0.187967410389869,-0.251885024320724,0.484933684942083,FALSE,0.487613975163242,0.131199961210725,0.230466776417169,0.744761173909316,TRUE,1.08095856995622,0.160377871562827,0.766623717775892,1.39529342213655,TRUE,0.983147753411735,1.00180595560466,1.02330530751861,0,0,67346.7562412695,67320.8845620154,"0.5 1","-1: 15, 0: 10, +1: 5",0.983943775728138,1.00043524686218,1.02386454197567,25.8716792540945
6,15,10,5,6,0.5,1,1,1,1,0.194692086088374,0.205421974040458,-0.207927584664044,0.597311756840793,TRUE,0.642904642162899,0.122605610880615,0.402602060534362,0.883207223791435,TRUE,1.2601506519752,0.150779643898794,0.964627980331787,1.55567332361861,TRUE,0.997094760958573,1.00475408995156,1.01902062628063,0,0,67328.5990789683,67293.6914520742,"0.5 1","-1: 15, 0: 10, +1: 5",0.997050176362542,1.00433149714278,1.01815983907537,34.9076268940553
7,15,10,5,7,0.5,1,1,1,1,0.0754526301330165,0.184499446466516,-0.28615964010893,0.437064900374963,FALSE,0.448659052143495,0.118673927090054,0.216062429143056,0.681255675143934,TRUE,1.10236817777609,0.147456511460134,0.81335872602831,1.39137762952387,TRUE,1.01045352477186,0.954991405630723,1.00859164390672,0,0,67349.4458426344,67318.7986689948,"0.5 1","-1: 15, 0: 10, +1: 5",1.0108976902543,0.954396461340507,1.00977434864852,30.6471736396343
8,15,10,5,8,0.5,1,1,1,1,0.208109636613141,0.191450796750811,-0.167127029829946,0.583346303056228,TRUE,0.601933515418736,0.118819310979334,0.369051945231377,0.834815085606094,TRUE,1.17258830102533,0.146732504961244,0.884997875939943,1.46017872611071,TRUE,1.02101093807694,0.978474868110716,1.01480919889535,0,0,67340.5403826118,67307.4940776007,"0.5 1","-1: 15, 0: 10, +1: 5",1.02168642883407,0.97771235911368,1.01406015102418,33.0463050111721
9,15,10,5,9,0.5,1,1,1,1,0.156467795777678,0.139824068957974,-0.117582343551797,0.430517935107152,FALSE,0.402470831876964,0.114274521397053,0.178496885588188,0.626444778165739,TRUE,0.708021998617195,0.142309749430959,0.429100015083596,0.986943982150794,FALSE,1.02270234351835,0.986637171958635,0.976430023323755,0,0,67370.4436065826,67353.4102892443,"0.5 1","-1: 15, 0: 10, +1: 5",1.02326833511876,0.985533153820098,0.976624820344055,17.0333173382969
10,15,10,5,10,0.5,1,1,1,1,0.350071026007926,0.154468553359815,0.0473182246786844,0.652823827337168,TRUE,0.630623197745742,0.116696194637372,0.401902859123617,0.859343536367867,TRUE,0.848098716819218,0.142522242100563,0.568760255306217,1.12743717833222,TRUE,0.992191899446377,1.02697575627702,0.995187083775429,0,0,67356.796303238,67335.2842845168,"0.5 1","-1: 15, 0: 10, +1: 5",0.99235433419389,1.02825871437859,0.995630333231282,21.5120187211578
11,15,10,5,11,0.5,1,1,1,1,0.18833483535625,0.173440931008088,-0.151603142864698,0.528272813577198,TRUE,0.57100471173823,0.113384844900243,0.348774499341093,0.793234924135368,TRUE,1.08206137363921,0.141085547571244,0.805538781660456,1.35858396561796,TRUE,0.996900300483904,0.998501558639025,0.94599572599442,0,0,67352.8040302309,67317.3671940602,"0.5 1","-1: 15, 0: 10, +1: 5",0.997657640733907,0.999081880780614,0.948001170726325,35.4368361706292
12,15,10,5,12,0.5,1,1,1,1,0.0730304309107725,0.175467295812102,-0.270879149345584,0.416940011167129,FALSE,0.401500379352913,0.11691090547192,0.172359215227984,0.630641543477843,TRUE,0.983612520097897,0.143249878138065,0.702847918157538,1.26437712203826,TRUE,1.00157396344224,0.986850995731564,1.00876718266885,0,0,67351.9862095882,67325.9659990938,"0.5 1","-1: 15, 0: 10, +1: 5",1.00243519434476,0.983626492710103,1.0090105244834,26.0202104944328
13,15,10,5,13,0.5,1,1,1,1,0.193752525052182,0.154188623899294,-0.108451624616227,0.495956674720591,FALSE,0.505980382290177,0.112677670971482,0.285136205324217,0.726824559256136,TRUE,0.940868246059768,0.13885440619168,0.668718610829379,1.21301788129016,TRUE,0.995823177787859,1.0164175741178,1.04016746034376,0,0,67363.4591492711,67332.1751716933,"0.5 1","-1: 15, 0: 10, +1: 5",0.996248876510178,1.01578418660286,1.04190338661869,31.2839775777684
14,15,10,5,14,0.5,1,1,1,1,0.180320503206575,0.182559001593984,-0.177488564971225,0.538129571384374,TRUE,0.512214857614892,0.119994754618561,0.277029460228791,0.747400255000994,TRUE,1.01760196466206,0.148009546182771,0.727508584775709,1.30769534454841,TRUE,1.01256826345264,0.977015281283951,1.00881724523768,0,0,67346.9145131913,67321.0811542037,"0.5 1","-1: 15, 0: 10, +1: 5",1.01289560012559,0.975696975848176,1.00784898032229,25.8333589875547
15,15,10,5,15,0.5,1,1,1,1,0.188149305777997,0.195100395207513,-0.19424044219826,0.570539053754254,TRUE,0.576468993041757,0.116077238316653,0.348961786516244,0.80397619956727,TRUE,1.19591900556082,0.142312050786807,0.91699251145264,1.47484549966899,TRUE,0.965699869096412,1.02423408787977,1.01945457061756,0,0,67340.5738133596,67306.1657285738,"0.5 1","-1: 15, 0: 10, +1: 5",0.965764793289759,1.02337550014075,1.0195856432686,34.4080847858131
16,15,10,5,16,0.5,1,1,1,1,0.0956772069438698,0.153676430527468,-0.205523062162639,0.396877476050379,FALSE,0.413568328137966,0.114063252911603,0.19000846047174,0.637128195804192,TRUE,0.95071797894921,0.140451401146748,0.675438291123395,1.22599766677502,TRUE,0.951503723046414,1.07751130506766,1.00306053483792,0,0,67366.9132630549,67334.6150207849,"0.5 1","-1: 15, 0: 10, +1: 5",0.952271240333697,1.07852671693927,1.00421577209751,32.2982422700006
17,15,10,5,17,0.5,1,1,1,1,0.089673741060372,0.139010853403709,-0.182782525071074,0.362130007191818,FALSE,0.362194520670197,0.112966661826823,0.140783932035907,0.583605109304487,TRUE,0.806858929430178,0.137091928477542,0.538163687043055,1.0755541718173,TRUE,1.01893626352311,0.999626412926257,1.03907523040773,0,0,67371.7022383892,67346.2964912401,"0.5 1","-1: 15, 0: 10, +1: 5",1.02042526365797,0.99874760645894,1.04092820209478,25.405747149096
18,15,10,5,18,0.5,1,1,1,1,0.205511169515345,0.184074736367501,-0.155268684228661,0.566291023259352,TRUE,0.588988840602374,0.114752652509871,0.364077774552586,0.813899906652162,TRUE,1.11966483486343,0.140265834089669,0.844748851786205,1.39458081794065,TRUE,1.03838381261661,0.955730153679721,1.02734501215452,0,0,67342.1578327675,67309.9793883472,"0.5 1","-1: 15, 0: 10, +1: 5",1.0389104339618,0.955438504661358,1.02684771440697,32.178444420264
19,15,10,5,19,0.5,1,1,1,1,0.097678368810654,0.186828121730139,-0.268498021079684,0.463854758700992,FALSE,0.425766881375835,0.128308616394705,0.174286614336048,0.677247148415622,TRUE,1.04999236480748,0.158888869653265,0.738575902742803,1.36140882687216,TRUE,0.945369201932059,1.06809603099085,0.974284972795368,0,0,67348.9503166496,67324.7785646464,"0.5 1","-1: 15, 0: 10, +1: 5",0.946128535124497,1.06680368014799,0.973551362054696,24.1717520032253
